title,address,price,price-addition,description,left-side (2),ownership,urgent-label
"Дом, 6 и более комнат, 300 м2, 3 сотки","Бишкек, Советская - БЧК, Усенбаева 198г",$ 260 000,22 739 600 сом,"Срочно продаю дом!🏠 Просторный дом площадью 300 м² на участке 3 сотки. Построен как таунхаус, но продаётся целиком — отличный вариант для большой семьи или для разделения на два самостоятельных жилья. 6 и более комнат, газовое отопление, центральное водоснабжение и канализация, проводной интернет. ...",1660,СОБСТВЕННИК,N/T
"Дом, 4-комн., 80 м2, 4.5 сотки","Бишкек, Арча-Бешик ж/м, Бердибаева 196",$ 180 000,15 742 800 сом,"🏡 Продаётся 4-комнатный дом — в жилмассиве Арча-Бешик 📍 Адрес: ул. Бердибаева, ж/м Арча-Бешик 🏠 Дом: Просторный и уютный дом с 4 комнатами 📐 Площадь дома: 80 м² 📐 Площадь участка: 4 сотки (фактически — 5 соток) 🔹 Особенности: Дом находится в черте города, участок полностью огорожен Е...",444,N/T,N/T
"Дом, 5-комн., 202 м2, 4 сотки","Иссык-Кульская область, с. Чок-Тал",$ 260 000,22 739 600 сом,"🔥Продается 2х этажный коттедж в ЦО «Лазурный берег», Иссык-Кульской области, с. Чок-Тал ✅Отличная локация, 3-я линия от берега ✅Квадратура: 202 кв.м. дом ✅Участок: 3,8сот., 2 парковочных места. Вся техника и мебель остаются. Шикарный вид, 200м. до озера, рестораны, магазины, детские площад...",1869,N/T,N/T
"Дом, 4-комн., 62 м2, 8 соток",с. Таш-Добо,$ 140 000,12 244 400 сом,"Продаётся дом 8 соток 4-комнат ул. Октябрьская,с Таш-добо Участок ровный, огорожен, есть свет и вода, еще на участке есть летная кухня, котельная,заезд удобный. Район тихий и обжитой, рядом школы, магазины и остановки. Отличное место для комфортного проживания или нового строительства. Це...",122,N/T,N/T
"Дом, 4-комн., 80 м2, 7 соток",с. Таш-Мойнок,$ 174 800,15 288 008 сом,"‼️ Срочно ‼️ Продается Дом 7сот(фактич9сот) 185 тм2 ✅Дом большой 80м2 кирпичный ✅4ком,2 санузла, большой холл, два отдельных кухни ✅ ✅Со всех сторон подключены видео камеры ✅Транспортная развязка ✅Централизованная канализация ✅Свет,Вода ✅Красная книга📕 Техпаспорт ДКП ✅Район: с.Таш-Мойно...",709,N/T,N/T
"Дом, 6 и более комнат, 280 м2, 4 сотки","Бишкек, Арча-Бешик ж/м, Ак туз 25",$ 360 500,31 529 330 сом,"Основные характеристики: - Архитектура: современная классика, фасад с панорамными арочными окнами, декоративной подсветкой и балконом. - Территория: периметр огражден высоким капитальным забором; отдельная калитка и широкие въездные роллетные ворота под навесом. - Крыша: металлочерепица, сложная ...",168,N/T,N/T
"Дом, 4-комн., 80 м2, 2 сотки","Бишкек, Карла Маркса",$ 118 000,10 320 280 сом,"Продаю полдома (3-комнатная квартира-студия с евро ремонтом и собственным двором)! Участок 2 сотки, красная книга. Раздельный санузел и ванная комната. Вся мебель и техника остаются новым владельцам. Есть место для отдыха и шашлыков, при желании можно обустроить парковку. Район Карла Маркса / Скряб...",226,N/T,N/T
"Дом, 6 и более комнат, 450 м2, 4 сотки","Бишкек, Матросова",$ 470 000,41 106 200 сом,Продаётся двухэтажный особняк в районе Бектенова/Джантошева. Действующий бизнес (возможно использование как жилого дома). Площадь — 411 м². Продаётся с оборудованием и всеми разрешительными документами. Возможны обмен или рассрочка. Причина продажи — выезд за границу.,123,N/T,N/T
"Дом, 6 и более комнат, 180 м2, 2 сотки","Бишкек, Горького - Панфилова, Ошская/Горького",$ 153 500,13 425 110 сом,"Продается 2х этажный дом в центре район ЮГ-2 2,2 соток,180квМ Коммуникации центральные Красная книга 11 комнат,1- этаж:4 комнаты с санузлами,2 этаж: 6 комнат 2 санузла и отдельная кухня с документами все в порядке Возможен обмен на 1-2ком квартиру с центральным отоплением Цена 153 500$",308,N/T,N/T
"Дом, 4-комн., 222 м2, 2 сотки","Бишкек, с. Кок-Джар",$ 340 000,29 736 400 сом,"Продается 3-уровневый дуплекс с современным ремонтом в VIP-городке Ачекей Общая информация: • Площадь дома: 221,5 м² + терраса 40 м² • Участок: 2 сотки • Год постройки: 2024 • Материал: кирпич, утепленный • Отопление: газовое и электрическое • Вода: собственная артезианская скважина • Канали...",2171,N/T,N/T
"Дом, 4-комн., 160 м2, 5 соток","Бишкек, Кара-Жыгач ж/м, Льва-Толстого",$ 200 000,17 492 000 сом,"Продается частный дом 2-х уровневый 📍 Адрес: ж/м Кара- Жыгач 📐 Площадь участка: 5,1 соток 🏠 Площадь дома: 160 м2 🪟🏠Комнат: 4 комнаты 🚪 Состояние ремонта: хорошее 🌲Состояние участка: обустроен 🚰 Коммуникации: центральные ♨️ Отопление: Газ,свет, угольный котел убрали но можно подключить 🧱 Мате...",696,N/T,N/T
"Дом, 5-комн., 100 м2, 4 сотки","Бишкек, Кок-Жар ж/м",$ 159 100,13 914 886 сом,"Срочно Продается Угловой Участок с домом 4 сот 5ком 100м2 Рядом школа садики и остановка Тихий район Централизованная канализация Свет,Вода,Газ,Канализация Документы чистыеготовы к оформлению Красная книга Техпаспорт ДКП Район: ж/м. Кок-Жар ул.Кок-Джар Цена: 159000$ (13.864.800)сом е...",759,N/T,N/T
"Дом, 4-комн., 76 м2, 5 соток","Бишкек, Кузнечная крепость",$ 158 000,13 818 680 сом,"Продаётся уютный и тёплый дом в самом сердце Бишкека! Куренкеева Правда ЦУМ / ГУМ — всего 800 метров! Дом 5ком. 76 кв.м в 5 мин. от ЦУМА - 158 т.$ Участок 4,5сот Красн. Книга по факту 5.6, Коммуникации Центральные, отопление ГАЗ+ Уголь, Ориентир Жибек Жолу/ Усенбаева, Подойдёт для большой семьи ко...",205,N/T,N/T
"Дом, 5-комн., 290 м2, 4 сотки","Бишкек, с. Кок-Джар",$ 465 000,40 668 900 сом,"Дом вашей мечты в коттеджном городке Highland Продаётся уютный и современный дом в одном из самых престижных коттеджных городков — Highland, село Беш Кунгой, (Кок Жар). Идеальное сочетание уединения и комфорта городской инфраструктуры. Городок находится в экологически чистом районе с удобным...",482,N/T,N/T
"Дом, 3-комн., 80 м2, 5 соток","Иссык-Кульская область, с. Бостери, Мамытова 1/74B",$ 78 000,6 821 880 сом,"Продам коттедж в уютном месте Бостери по соседству с Кыргызским взморьем на берегу моря в vip городке Diamond Resort. Дом 1 этажный, компактный, тёплый, уютный. Электричество- 3 фазы Водопровод-центральный. Навес на 2 машины и беседка для барбекю Канализация-центральное. В доме -2 спальни. К...",2832,СОБСТВЕННИК,N/T
"Дом, 5-комн., 224 м2, 4 сотки","Иссык-Кульская область, Чолпон-Ата",$ 257 600,22 529 696 сом,"Продается роскошный коттедж в ЦО «Nomad resort» на первой линии ‼️ В коттедже предусмотрены все условия для комфортного проживания все 4 сезона! В удобном расположении, где вы сможете найти все необходимое. Благодаря идеальным условиям и расположению на первой линии у песочного пляжа, является од...",1541,N/T,N/T
"Дом, 4-комн., 72 м2, 6 соток","Бишкек, Учкун ж/м",$ 150 000,13 119 000 сом,"Участок 6 соток с домом 72м2 в микрорайоне Учкун — район активно развивается: строится новый детский сад, есть школа, магазины и аптеки в шаговой доступности. Подведены свет, вода, газ, дороги благоустраиваются, ходят маршрутки и автобусы. Удобное место для жизни семьи и рост цен за счёт развития ин...",182,N/T,N/T
"Дом, 3-комн., 79 м2, 4 сотки","Бишкек, Ак-Ордо ж/м",$ 117 000,10 232 820 сом,"Продается уютный дом с участком в районе Ак Ордо-2, ул. Жаны Доор Участок угловой — 4,2 сотки, удобно для благоустройства и комфортной жизни Дом саманный, площадью 79 м² — надежный и экологичный Мансардный дизайн добавляет пространству стиль и уют Подойдет для семьи, которая ценит спокойстви...",444,N/T,N/T
"Дом, 3-комн., 58 м2, 8 соток","Бишкек, с. Орто-Сай, Иманалиева",$ 390 000,34 109 400 сом,"Продается участок 7.5 соток с домом (58 м2) 📍Село Ортосай, ул. Иманалиева (широкая) 📕Красная книга, тех. паспорт Коммуникации: - Центральные ⁠(кроме канализации) 📌Описание: Широкая улица, асфальтированая, удобный заезд. 700м. от ул. Советская. Отличная локация, престижный район. Чистый воздух. Рядом...",823,N/T,N/T
"Дом, 5-комн., 133 м2, 6 соток",с. Новопокровка,$ 145 000,12 681 700 сом,Продается частный 2 уровневый дом 📍 Адрес: Новопокровка 📐 Площадь участка: 6 сот 🏠 Площадь дома: 133 м2 🚪 Состояние ремонта: Евроремонт 🚰 Коммуникации: Все имеется ♨️ Отопление: Электрическое 🧱 Материал стен: Кирпич 🚽 Санузел: Совмещенный 📃 Документы на землю:Красная книга 📃 Д...,634,N/T,N/T
"Дом, 6 и более комнат, 150 м2,","Иссык-Кульская область, с. Чок-Тал",$ 320 000,27 987 200 сом,"🏡 Коттедж у первой линии озера! Ваша собственная территория у Иссык-Куля 🌊 🔸Фото вышлю вам на WhatsApp Предлагается к продаже уютный коттедж 150 м² в коттеджном городке ЦО «Лазурный берег», с. Чок-Тал — всего в 100 метрах от пляжа. Это не просто дом — это место, куда хочется возвращаться снова и сн...",304,N/T,N/T
"Дом, 6 и более комнат, 190 м2, 4 сотки","Бишкек, Арча-Бешик ж/м",$ 245 000,21 427 700 сом,"Продается новый современный дом с идеальными условиями для комфортной жизни! 🏡 2024 год постройки, стиль «White Box» 📍 Ж/М Арча бешик, престижный район 📏 Участок 4 сотык красная книга 📐 Площадь дома — 190 кв.м ✨ Планировка и удобства: — 3 санузла, просторная кухня, 4 спальни, гостевая комната — Ле...",1032,N/T,N/T
"Дом, 5-комн., 150 м2, 3 сотки","Джалал-Абадская область, Джалал-Абад, район Дмитровка ул Исмаилов Мамир ажы 81/Кыргызбай ажы",$ 130 000,11 369 800 сом,Ассалому алейкум Продаю новый Дом В центре города Жалал-Абад Собственник ...,969,СОБСТВЕННИК,N/T
"Дом, 5-комн., 1250 м2, 15 соток","Бишкек, с. Кок-Джар",$ 165 000,14 430 900 сом,"🏡 Продается шикарный таунхаус в селе Кок-Жар! 📍 Локация: пересечение Магистраль / Алматинка — всего 1 минута до Bilimkana! 🔝 Отличное расположение: удобный выезд, вся инфраструктура рядом! 🌿 Экология: Чистый воздух, тихий и спокойный район — идеально для семьи и отдыха от городского шума. ...",708,N/T,N/T
"Дом, 6 и более комнат, 209 м2, 7 соток","Бишкек, с. Орто-Сай, Балык Кумар",$ 420 000,36 733 200 сом,"Продаётся 2-х этажный 6-х комнатный Танхаус с видом на VIP городок ""Ала арча"" 📍Адрес: с. Орто-Сай 🏬Этаж: 2-х этажный 📐Площадь: 209 м2 📏Участок: 7 соток 💧Коммуникации: Центральные, канализация септик ♨️Отопление: Газовое 🧰Ремонт: Дизайнерский ремонт 📑Документы: Техпаспорт ДКП 💵Цена: 420.000$",1587,N/T,N/T
"Дом, 2-комн., 150 м2, 7 соток","Бишкек, Баха",$ 160 000,13 993 600 сом,"🏡 Продается дом | Первая линия | ул. Репина 📍 Адрес: улица Репина, первая линия 📐 Участок: 6.5 соток (по красной книге) 🏠 Дом: 2 этажа, общая площадь 150 м² 🔌 Коммуникации: Центральный газ (пищевой) Центральное водоснабжение и электричество 📄 Документы: полный пакет, собственность оформлена ...",575,N/T,N/T
"Дом, 4-комн., 82 м2, 5 соток","Бишкек, Джальская больница",$ 260 000,22 739 600 сом,"участок с домом по адресу переулок Симферопольский, Площадь участка — 5,8сотки Дом — кирпичный, 1965 года постройки, общая площадь около 82 м² Планировка: несколько жилых комнат, кухня, хозяйственные постройки. Коммуникации: вода, электричество, газ, канализация Продаётся участок с домом в центре Би...",336,N/T,N/T
"Дом, 4-комн., 67 м2, 6 соток","Бишкек, с. Нижняя Ала-Арча",$ 72 000,6 297 120 сом,"Продается дом,из трёх комнат,столовой и кухни.Материал стен жжёный кирпич.Участок прямоугольной формы,6 соток ( фактически 7), большой плодоносящий сад. На участке расположены баня, летняя кухня, подсобные помещения. Коммуникации все центральные:водопровод,газ, электричество 3 фазы. Отопление комбин...",530,СОБСТВЕННИК,N/T
"Дом, 3-комн., 80 м2, 8 соток","Бишкек, Карагачевая роща",$ 140 000,12 244 400 сом,Продается частный дом 1 уровневый 📍 Адрес: Карагачёвая роща 📐 Площадь участдома 7.5 соток 🏠 Площадь дома: 80м2 🚪 Состояние ремонта: среднее 🚰 Коммуникации: все центральные 🧱 Материал стен: белый кирпич 📃 Документы на землю: красная книга 📃 Документы на дом: тех паспорт 💵Цена:140000$...,1320,N/T,N/T
"Дом, 2-комн., 72 м2, 10 соток","Бишкек, Ленинский район",$ 140 000,12 244 400 сом,"Просторный дом с участком 10 соток в живописном месте Продаётся одноэтажный кирпичный дом, расположенный в тихом и уютном районе. Участок 10 соток правильной формы, что идеально подойдёт для строительства, садоводства или благоустройства под собственные нужды. Преимущества объекта: Дом из кирпича —...",396,N/T,N/T
"Дом, 2-комн., 63 м2, 3 сотки","Бишкек, Карпинка",$ 155 000,13 556 300 сом,"Продаётся земельный участок площадью 3,5 сотки в одном из самых развитых районов Бишкека — Свердловском. Участок ровный, правильной формы — идеально под строительство дома или таунхауса. Удобный подъезд, рядом асфальтированная дорога. Район активно развивается: поблизости школы, детские сады, магаз...",355,N/T,N/T
"Дом, 6 и более комнат, 200 м2, 2 сотки","Бишкек, Алматинка - Магистраль, Майрам",$ 270 000,23 614 200 сом,"Продается 3х уровневый Таунхаус! 📍 Адрес: 7 апреля/ Магистраль 📐 Площадь участка: 2 сот 📏 Комнат: 6 комнат 🚪 Состояние ремонта: Хороший ремонт 🚰 Коммуникации: Центральные 🧱 Материал стен: Кирпич 📃 Документы на землю и на дом: Договор купли продажи , Техпаспорт, Красная книга 📕 📃 Дополнитель...",1240,N/T,N/T
"Дом, 3-комн., 52 м2, 7 соток","Бишкек, с. Нижняя Ала-Арча",$ 76 000,6 646 960 сом,"В продаже ДОМ Район: Нижняя Ала-Арча | ул. Короткая Материал стен: Кирпич (ж/к) Площадь дома: 52м2 Площадь участка в сотках: 5.71 по факту 7 На участке имеется ХОЗ постройки Летняя кухня и баня, гизифицированная Участок полностью ухоженный, Имеется плодоносящий сад Газификация проведена...",906,N/T,N/T
"Дом, 6 и более комнат, 250 м2, 2 сотки","Бишкек, с. Кок-Джар",$ 250 000,21 865 000 сом,"Продается! Таунхаус в селе Кок Жар, официально являющееся частью Бишкеке, выглядит как отличное место для проживания. Все удобства в шаговой доступности, что делает его особенно привлекательным для семей с детьми. Вот краткое описание объекта: Район: Кок Жар, часть Бишкек Инфраструктура: школа, с...",669,N/T,N/T
"Дом, 5-комн., 120 м2, 6 соток",с. Байтик,$ 188 000,16 442 480 сом,"Продается таунхаус в селе Байтик! Прекрасный вариант для тех, кто мечтает о жизни в экологически чистом районе, вдали от городского шума 🌳🌳🌳 Характеристики дома: • Площадь: 120 м² • Первый этаж — свежий косметический ремонт • Отдельная котельная — безопасность и удобство • Центральная канализац...",1279,N/T,N/T
"Дом, 3-комн., 120 м2, 4 сотки","Бишкек, Ак-Ордо ж/м",$ 105 000,9 183 300 сом,"Срочно продаётся дом в ж/м Ак-Ордо Площадь: 120 м2 Участок: 4 соток Гостиная + кухня студия, спальня, детская, санузел С ремонтом, частично с мебелью Стены кирпич Огорожен Коммуникация: свет, вода Отопление: автономное, комби Документы: красная книга, дкп Рядом школа, садик Адрес: у...",374,N/T,N/T
"Дом, 5-комн., 80 м2, 5 соток",с. Первомайское (Ысык-Атинский р-н),$ 22 500,1 967 850 сом,Продаю учаток 5 соток с домом под Псо Дача Перво май Выше Канта 5 км,2610,N/T,N/T
"Дом, 6 и более комнат, 604 м2, 10 соток","Бишкек, с. Кок-Джар",$ 650 000,56 849 000 сом,"Продается новый большой добротный 4х уровневый дом в стиле Хай-тек в с.Кок-Жар. Тихая тупиковая улица, отличные соседи. Вода в арыке бежит с ранней весны до поздней осени. Дом кирпичный, хорошо утеплённый. В доме абсолютно новый ремонт, завершенный на 95%. Осталось доделать лестницу и завершить н...",2014,N/T,N/T
"Дом, 4-комн., 105 м2, 5 соток","Бишкек, Ак-Ордо ж/м",$ 98 000,8 571 080 сом,Продаю дом Ак Ордо 5 соток Конечная 215 Маршрутки Дом 102 кв м Дом Огорожен Имеются хоз постройки Газ Подключен Красная Книга Техпаспорт Имеется,6019,N/T,N/T
"Дом, 6 и более комнат, 200 м2, 5 соток","Бишкек, Ак-Ордо 3 ж/м",$ 150 000,13 119 000 сом,"Продается дом 7-комнат Район: Ак-ордо Площадь участка 3 сотки Размер дома 240м2 Год постройки Ремонт евро ремонт Матирял стен красный кирпич С мебели Забор огорожен Отоплениекомбинированый газовая Коммуникации, Водопровод,электричество ,газ , конализасия другие коммунальные линии Доку...",591,N/T,N/T
"Дом, 6 и более комнат, 142 м2, 6 соток","Бишкек, Ала-Тоо 3 ж-м",$ 165 000,14 430 900 сом,"🏡 СРОЧНО ПРОДАЕТСЯ ДОМ 📍 Новопавловка, ж/м Ала-Тоо 💲 Цена: 165 000$ 💬 Есть хороший торг! 📐 Основные характеристики: 📏 Участок: 6 соток, правильной формы 🧱 Дом: 142 м², кирпичный, с мансардным этажом 📚 Документы: Красная книга 📕, техпаспорт 📄 Готовы к оформлению (документы чистые) 🌟 Преимуще...",363,N/T,N/T
"Дом, 6 и более комнат, 437 м2, 4 сотки","Бишкек, Магистраль",$ 850 000,74 341 000 сом,В продаже таунхаус напротив китайского посольства ул. Ы. Абдрахманова/ пр. Чынгыза Айтматова 7 комнат 437м2 На красной книге ID: 62902 Арсен,413,N/T,N/T
"Дом, 5-комн., 105 м2, 2 сотки","Бишкек, ж/м Ала-Арча 2",$ 120 000,10 495 200 сом,"Продаем Таунхаус 2 этажный (3 этаж мансарда + 2 комнаты ) 5 комнат ПСО Район Баха Семетей ( Глобус) Год постройки июль 2024 год Коммуникаций Центральные Газ, Канализация, Электричество Отопление газ (экономичная газ печка ) Сан узел есть на первом этаже и на втором этаже Первый этаж зал и кухн...",4592,N/T,N/T
"Дом, 4-комн., 200 м2, 5 соток","Бишкек, Рабочий Городок",$ 207 000,18 104 220 сом,"Два дома, одна идея – бизнес в центре событий! Выставлен на продажу уникальный участок 4,1 сотки со сквозным проездом и двумя домами. Отличное решение для тех, кто мечтает о собственном бизнесе рядом с домом или готов запустить прибыльный проект с нуля. ✔ Сквозной участок – редкость на рынке ✔ У...",564,N/T,N/T
"Дом, 6 и более комнат, 216 м2, 4.5 сотки","Бишкек, Аламединский рынок",$ 250 000,21 865 000 сом,"Продается дом с действующим бизнесом в хорошей локации в р-н. Аламединский рынок по ул. Славянская, 30 Дом + 2х этажное строение Площадь 216м2 (дом + комнаты) с ЕВРО ремонтом, в каждой комнате (душ + сан узел) Площадь участка: 4,5 соток Коммуникации: отопление автономное, электричест...",460,N/T,N/T
"Дом, 5-комн., 105 м2, 2 сотки","Бишкек, ж/м Ала-Арча 2",$ 156 000,13 643 760 сом,"Продаем Таунхаус 2 этажный (3 этаж мансарда + 2 комнаты ) 5 комнат Район Баха Семетей ( Глобус) Год постройки июль 2024 год Коммуникаций Центральные Газ, Канализация, Электричество Отопление газ (экономичная газ печка ) Сан узел есть на первом этаже и на втором этаже Первый этаж зал и кухня В...",2991,N/T,N/T
"Дом, 3-комн., 99 м2, 8 соток","Бишкек, Арча-Бешик ж/м, Кызыл-Адыр",$ 260 000,22 739 600 сом,"Продается частный 1 этажный дом. 📍 Район: Арча-бешик. 📐 Площадь участка: 8 соток 🏠 Площадь дома: 98.7 м2. 🚪 Состояние ремонта: С ремонтом. 🚰 Коммуникации: Центральное. ♨️ Отопление: Электричество , уголь. 🧱 Материал стен: Кирпич 🚽 Санузел: Совмещёный. 📃 Документы на землю: Красная книга. 📃 Докум...",777,N/T,N/T
"Дом, 6 и более комнат, 220 м2, 4 сотки",с. Беш-Кунгей,$ 254 000,22 214 840 сом,Продаю Дом в Закрытом Городке Беш Кунгей Участок 4 соток Дом под Псо 220 кв м,1726,N/T,N/T
"Дом, 2-комн., 100 м2, 5 соток",с. Беш-Кунгей,$ 80 000,6 996 800 сом,Продаю Дом в дачном участке 5 соток С отличным панорамным видом Дом 2 уровня Останется кондиционер Рядом речка Дорога широкая Отличный вариант под бизнес Можно построить барнхус Подготовлено место под расширение Напишите на Вотс могу отправить видео,6111,N/T,N/T
"Дом, 5-комн., 94 м2, 5 соток","Бишкек, Первомайский район, Джеты огузский 4/Тоголок Молдо",$ 182 000,15 917 720 сом,Продаю дом. Район тоголок молдо Ленинградская. В переулке возле школы 33. Газ водопровод электричество 3 фазы городской телефон кабельный интернет Мегалайн стабилизатор напряжения на 10 кв. Участок 5 сот по документам общий 7 дом 94 кв. Цена 182 000 долларов США. Торга нет цена окончательная!! Я не...,62,СОБСТВЕННИК,N/T
"Дом, 4-комн., 150 м2, 4 сотки","Бишкек, Кок-Жар ж/м",$ 250 000,21 865 000 сом,"Новый дом в ж/м Кок-Жар | 🏗️ 📍 До ул. Ахунбаева — всего 200 м! 📐 Площадь: 150 м² | 🌿 Участок: 4 сотки ✨ Планировка: • 3 🛏️ спальни • 🛋️ просторный зал • 🍽️ кухня + холл • 🚿 2 санузла • 🌅 терраса • 📦 подвал 🔧 Особенности и удобства: • Потолки 3,5 м — 🌀 максимум воздуха и света • 🔥 Тёплые...",474,N/T,N/T
"Дом, 6 и более комнат, 285 м2, 4 сотки","Бишкек, Арча-Бешик ж/м",$ 360 000,31 485 600 сом,"Срочно продается новый белоснежный особняк в ж/м Арча- Бешик. Количество комнат: 6 комнат Площадь (м2): 285 Площадь участка (соток): 4 Количество этажей: 2 Отопление: Газовое отопление Ремонт: Дизайнерский ремонт Коммуникации: Водопровод, Газ, Канализация, Электричество Район: Арча-Бешик ж...",329,N/T,N/T
"Дом, 4-комн., 135 м2, 8 соток",с. Таш-Добо,$ 125 000,10 932 500 сом,"Продаю 4 комнатный дом кирпичный Дом сейсмоустойчивый Фундамент высокий Можно сделать монсарду 1,5 кирпична межкомнатный 1,5 Пол деревянный Есть погреб Отопление электричество Твердое Крыша советская нержавейшая сталь И 2 комнатная времянка Имеется Баня И склад Абрикос Черешная Яблони ...",3020,N/T,N/T
"Дом, 5-комн., 109 м2, 8 соток","Бишкек, Ынтымак ж/м",$ 350 000,30 611 000 сом,"Дом в ж/м Ынтымак ID: 60445 Элитный район, ближе к горам и свежему воздуху Объект от агентства Кыргыз Недвижимость 5 комнат, свежий ремонт Участок 8 соток Газовое отопление, центральная канализация Тихий и уютный район, хорошие соседи Удобный подъезд, развитая инфраструктура поблизости ...",565,N/T,N/T
"Дом, 6 и более комнат, 400 м2, 5 соток","Бишкек, Арча-Бешик ж/м",$ 360 000,31 485 600 сом,"Дом в Джале! Продаются сразу 2 особняка на одном участке ул. Баха / Ахунбаева, ж/м Арча-Бешик ID: 55340 Цена за оба дома: 360 000 $ (торг при осмотре возможен) Кому подойдёт: — Для большой и дружной семьи — Для жизни родителей и детей на одном участке, но в отдельных домах — Для тех, кто...",418,N/T,N/T
"Дом, 5-комн., 170 м2, 3 сотки","Бишкек, Кок-Жар ж/м",$ 290 000,25 363 400 сом,"Продается 2-этажный дом в р-не Кок-Жар 📐 Участок: 3 сотки (красная книга) + 4,5 соток прилегающая территория 🏠 Площадь дома: 170 м² 🔌 Все коммуникации центральные 💰 Цена: 25 375000 cом (290,000 $) тел: 704-88-72-88 Бексултан Кыргыз Недвижимость ID: 63541",280,N/T,N/T
"Дом, 5-комн., 240 м2, 3 сотки","Бишкек, с. Кок-Джар",$ 300 000,26 238 000 сом,"Продается готовый 2-уровневый таунхаус в экологически чистом районе! Локация: р-н Супара, военный госпиталь Общая площадь — 200 м² + терраса 40 м² Площадь участка - 3 сотик Построен по монолитно-каркасной технологии с кирпичным наполнением и базальтовым утеплением Фасад — натур...",757,N/T,N/T
"Дом, 3-комн., 100 м2, 2 сотки","Иссык-Кульская область, Чолпон-Ата",$ 140 000,12 244 400 сом,"В самом сердце солнечного иссык куля Продается коттедж по первой береговой линии в село Кара-ой От надежного застройщика Турпан строй Коттедж премиум класса с дизайнерским ремонтом , нужно всего лишь поставить мебель и наслаждаться красотой Иссык-Куля Это больше чем влажения а идеальный старт ...",792,N/T,N/T
"Дом, свободная планировка, 52 м2,","Иссык-Кульская область, с. Кош-Коль",$ 67 548,5 907 748 сом,"👌Продаются коттеджи на Иссык-Куле комплекс Alpha White Resort, 🟪различной площади, от 52 кв.м до 174 кв.м. 🔝Двух этажные. ↖️Фасады коттеджей отделаны фиброцементными плитами, что обеспечивает прочность и долговечность конструкции. ⛳Расположен на берегу озера Иссык-Куль в селе Кош-Коль, что обесп...",285,N/T,N/T
"Дом, 3-комн., 80 м2, 8 соток",с. Кара Джыгач,$ 154 000,13 468 840 сом,"🔥Срочно продаётся участок 8 соток Локация:Кара -Джыгач ✅Особенности: участок с домам, центральная канализация,вода, свет подключён, большой сад, через улицу садик и Кара-Джыгачская общеобразовательная школа, тихий район 💵Цена:154500$ 📞Звони сейчас:0706644002",757,N/T,N/T
"Дом, 3-комн., 100 м2, 4 сотки","Бишкек, Дордой 2 ж/м",$ 53 000,4 635 380 сом,"Продаётся дом рядом с Дордой! Идеально подойдёт для тех, кто хочет жить рядом с рынком или работает в этом районе. Отличный вариант для проживания или аренды. Район: Ак-Бата ж/м Участок: официально 4 сотки, фактически 8 соток Документы: Красная книга Коммуникации: водопровод, электричество ...",1147,N/T,N/T
"Дом, 6 и более комнат, 450 м2, 4 сотки","Бишкек, с. Кок-Джар, Куюкова",$ 220 000,19 241 200 сом,"Продается 4х уровневый Таунхаус ПСО! 📍 Адрес: ж/м Көк жар (ориентир: 7 апреля / Куюкова) 📐 Площадь участка: 3,5 сот 📏 Комнат: 6 комнат 📐 Площадь дома: 450м2 🚪 Состояние ремонта: ПСО 🚰 Коммуникации: Центральные 🧱 Материал стен: Кирпич 📃 Документы на землю и на дом: Договор купли продажи , Те...",1105,N/T,N/T
"Дом, 5-комн., 230 м2, 4.9 сотки","Бишкек, с. Кок-Джар",$ 499 000,43 642 540 сом,"✓ Продаю шикарный особняк ◦ Год постройки 2025 ◦ Дом построен из качественных материалов ◦ Фасад дома отделан дорогим Сары ташем, индийским гранитом (таун браун) ◦ Забор так же отделан Сары ташем и гранитом (Курты) ◦ Участок 4,9 соток (красная книга)📕 ◦ Площадь дома 230м2 Комнат: 5 (4 саль...",484,N/T,N/T
"Дом, 4-комн., 12 м2, 6 соток","Бишкек, Кара-Жыгач ж/м",$ 295 000,25 800 700 сом,Продается дом с участком по первой линии по улице Анкара — отличное место для ведения бизнеса. На участке расположен 6-комнатный жилой дом. Перед домом — стоянка на 4 сотках. Коммуникации: газ и вода заведены. участок 6 соток Площадь дома: 120 м² Район: Кара-Жыгач Цена: 295 000 $ ID: 60973,380,N/T,N/T
"Дом, 5-комн., 400 м2, 7 соток",с. Арашан,$ 170 000,14 868 200 сом,"🔥Продаётся медцентр / дом с возможностью проживания🔥 Участок: 7 соток, имеется красная книга Площадь дома: 400 м², утеплённый, выполнен качественный ремонт Отопление: установлен умный котёл Локация: тихий район, свежий воздух, артезианская вода Инфраструктура: рядом аквапарк Royal Fish, удобный...",2317,N/T,N/T
"Дом, 4-комн., 130 м2, 5 соток","Бишкек, Арча-Бешик ж/м, Шералиева",$ 198 000,17 317 080 сом,Продается 2-х этажный частный дом 📍 Адрес: ж/м Арча-Бешик 📐 Площадь участка: 5 соток 🏠Площадь дома: 130 кв.м. 🚪 Состояние ремонта: с ремонтом 🚰Коммуникации: центральные ♨️ Отопление: комбинированное: газовое/электрическое/твердый уголь 🧱 Материал стен: красный кирпич 🚽 Санузел: совмещенный 📃 Докумен...,1155,N/T,N/T
